recipe_slug	score_bound
almond-chip-cookies	2.173076225268238
almond-croissants	2.1909668957234083
apple-crisp	2.2795069429140575
apple-crumble	2.389797767483416
apple-pie	2.3325533997385137
asparagus-burger	2.3565011704065397
asparagus-quiche	2.3462983976384404
bacon-and-egg-breakfast-sandwich	2.0250067291860594
bacon-chocolate-chip-cookies	1.793112996679006
bacon-egg-muffins	1.7994899359003016
bacon-fried-rice	1.9431356228437568
bacon-mac-and-cheese	2.0759166615207008
bacon-souffle	1.6497094585886616
bacon-wrapped-asparagus	2.0597373996552735
bacon-wrapped-chicken	2.0753863792808573
bacon-wrapped-dates	1.9926508707492048
bacon-wrapped-scallops	1.8059610789768656
bacon-wrapped-shrimp-skewers	2.044604389490538
berry-crisp	2.1783977681373043
berry-crumble	1.994719837265221
blueberry-crisp	2.095308568186349
blueberry-crumble	2.0436507675015423
bolognese-sauce	2.616047553892334
breakfast-burritos	2.6523470879564766
brioche-bread	2.3287205299257963
brioche-bread-with-chocolate	2.1471171528201025
brownies	2.676602680985435
burritos	2.2552982602301186
butter-croissants	1.6880068485853676
cherry-cobbler	2.146425965226042
cherry-pie	2.2183300389828444
chicken-alfredo-lasagna	2.271081484937739
chicken-fingers	2.2767729168554824
chicken-nuggets	2.353105995012981
chiles-rellenos	2.2521581602828746
chocolate-babka	2.356429045550909
chocolate-cake	2.139305318932869
chocolate-croissants	2.0871127098842557
chocolate-peanut-butter-cake	1.9464791934940031
chocolate-souffle	2.0150087441758076
cinnamon-babka	2.1246233393522296
classic-beef-lasagna	2.0713432369708062
cold-noodles-with-tomatoes	2.809054356125518
cold-sesame-noodles	2.2953205565867583
cold-soba-noodles-with-tomato-and-cucumber	2.3100560921173776
cranberry-apple-crisp	2.3127876343593776
cranberry-relish	2.290786947124284
cranberry-sauce	2.2907869471242845
croissant-aux-amandes	2.3438875748483854
croissants	2.7253203838605837
dan-dan-noodles	2.3605839804474966
danishes	2.28815514706179
enchiladas	2.268248777068021
fajitas	2.369944911133178
falafel	2.259600409717234
french-toast	2.2220113667297685
fried-oysters	1.8527970093417787
guacamole	2.3551759331852424
lasagna	2.1685099623914126
loaded-nachos	2.2689011796946734
ma-la-beef	2.092973243790378
ma-la-chicken	2.3841529915544735
maple-bacon-donuts	1.816448168264791
maple-bacon-pancakes	1.7625088947849468
mushroom-quiche	2.784124397900453
nacho-casserole	2.25583715518299
nacho-dip	2.2499047419634786
nacho-fries	2.3516574171246636
nacho-salad	2.339803623350745
nachos	2.2902364175760397
pain-au-chocolat	2.402757157006732
pasta-primavera	2.519248768510661
peach-cobbler	2.212161454400462
peach-crisp	2.199305234402457
peanut-butter-brownies	1.7597072663775903
peanut-butter-cupcakes	2.039795279202658
pickled-asparagus	2.2250957156368107
pickled-green-beans	2.292055317488455
pico-de-gallo	2.2724092672370424
quesadillas	2.3697736235173257
quiche-lorraine	2.257172944589873
ramen	2.8772274783417067
soba-noodle-salad-with-peanut-dressing	2.2809725256203257
souffle	2.2241467353629267
spam-musubi	2.353618003618949
spamburger	2.388703784701248
spinach-and-feta-quiche	2.2616154028561244
spinach-and-ricotta-lasagna	2.257856914787232
spinach-and-ricotta-stuffed-shells	2.1193919868586453
spinach-quiche	2.193421673089762
strawberry-rhubarb-crisp	2.3713516110685777
sujebi	2.323118309646038
taco-salad	2.33452996176696
tacos	2.3425911941451734
tamales	2.80281573573177
tempura-udon	2.285726524493729
udon	2.275578677162638
vanilla-souffle	2.2725799141590497
vegetable-lasagna	2.042332075251336
vegetarian-mushroom-lasagna	2.4696259872567197
