recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.5
ma-la-chicken	7.2259221116059615	0.5
quesadillas	7.21569015113308	0.5
ramen	7.205736459743493	1.0
bacon-fried-rice	6.984546136587215	0.0
spamburger	6.950595629761644	0.5
pain-au-chocolat	6.957698718555366	0.5
chocolate-babka	6.873243900506376	0.5
nacho-fries	6.763054519251108	0.5
cranberry-sauce	6.673895210653039	0.5
asparagus-burger	6.597983556273133	0.5
strawberry-rhubarb-crisp	6.381673264569658	0.5
asparagus-quiche	6.348373925520566	0.5
guacamole	6.333825969505098	0.5
apple-pie	6.251057787190441	0.5
bacon-wrapped-asparagus	6.251702744161559	0.25
cold-noodles-with-tomatoes	6.227286735741092	1.0
dan-dan-noodles	6.134976940004018	0.5
brioche-bread	6.112784519780256	0.5
tamales	6.101034472287723	1.0
taco-salad	6.089818717596749	0.5
bacon-wrapped-chicken	5.9773592419114685	0.25
mushroom-quiche	5.973852177439612	1.0
chicken-nuggets	5.833236054877386	0.5
apple-crisp	5.8229076755718365	0.5
fajitas	5.738499659507737	0.5
spam-musubi	5.686680901994468	0.5
bacon-mac-and-cheese	5.6639234608478	0.25
tacos	5.646348019947949	0.5
croissants	5.643532485807448	1.0
croissant-aux-amandes	5.502054234851079	0.5
sujebi	5.462816105612054	0.5
chocolate-peanut-butter-cake	5.427863741316769	0.25
nacho-salad	5.373471478795	0.5
bacon-wrapped-shrimp-skewers	5.370274075990575	0.25
cranberry-apple-crisp	5.342767226540879	0.5
spinach-quiche	5.3287426859199005	0.5
quiche-lorraine	5.29683715411967	0.5
cold-soba-noodles-with-tomato-and-cucumber	5.239429412758889	0.5
nachos	5.14458996905363	0.5
enchiladas	5.134659828170123	0.5
danishes	5.10964357688479	0.5
souffle	5.0964944298083	0.5
spinach-and-ricotta-lasagna	5.0486741084392905	0.5
vanilla-souffle	5.034240134803978	0.5
cherry-pie	5.015944267503499	0.5
loaded-nachos	4.98859650582911	0.5
breakfast-burritos	4.947009233397275	1.0
udon	4.835162041391019	0.5
ma-la-beef	4.776463390783695	0.25
bacon-egg-muffins	4.750980814998913	0.0
brownies	4.756811224714248	1.0
pickled-green-beans	4.746167504155354	0.5
peach-crisp	4.694069489710231	0.5
bolognese-sauce	4.692492154503787	1.0
chiles-rellenos	4.680470405162021	0.5
tempura-udon	4.666215471013279	0.5
brioche-bread-with-chocolate	4.628921792350184	0.5
chicken-fingers	4.622952453622707	0.5
cold-sesame-noodles	4.594958204320411	0.5
cranberry-relish	4.547849091220772	0.5
chicken-alfredo-lasagna	4.538920200076324	0.5
burritos	4.5202507772548035	0.5
peanut-butter-cupcakes	4.510561480467519	0.25
bacon-wrapped-scallops	4.5102124606844995	0.0
spinach-and-feta-quiche	4.488586157187307	0.5
soba-noodle-salad-with-peanut-dressing	4.472484116109129	0.5
almond-croissants	4.465258374917166	0.5
maple-bacon-donuts	4.429369555730211	0.0
falafel	4.42162101367722	0.5
bacon-and-egg-breakfast-sandwich	4.331859158449689	0.25
pico-de-gallo	4.297790427246053	0.5
peach-cobbler	4.292768795737686	0.5
classic-beef-lasagna	4.287843430672093	0.25
fried-oysters	4.249364033885493	0.0
nacho-dip	4.222128074308592	0.5
almond-chip-cookies	4.1825698390026185	0.5
nacho-casserole	4.1509392428947915	0.5
french-toast	4.139449871999143	0.5
pickled-asparagus	4.046715980433683	0.5
berry-crisp	4.009435405745202	0.5
maple-bacon-pancakes	3.9116310399269385	0.0
pasta-primavera	3.8731833857969167	1.0
chocolate-croissants	3.845056284335576	0.5
bacon-wrapped-dates	3.820800496724458	0.25
lasagna	3.7663818312829274	0.5
blueberry-crumble	3.6933855440514005	0.5
bacon-chocolate-chip-cookies	3.6438041838880553	0.0
vegetarian-mushroom-lasagna	3.5650255334402896	1.0
cherry-cobbler	3.54053643361692	0.5
chocolate-cake	3.481966182137515	0.5
spinach-and-ricotta-stuffed-shells	3.362338569386765	0.5
peanut-butter-brownies	3.3235510843904956	0.0
cinnamon-babka	3.2810389740652712	0.5
blueberry-crisp	3.21570158617585	0.5
chocolate-souffle	2.9265082139218777	0.5
vegetable-lasagna	2.8114476330138247	0.5
berry-crumble	2.8015578441316764	0.5
butter-croissants	2.757167855886193	0.0
bacon-souffle	2.674955898794653	0.0
